time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969881.0,0.0,0.0
2020-03-07,0.0,1.0,2.0,0.0,0.0,972166.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,979500.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,987004.0,0.0,0.0
2020-03-10,3.0,0.0,2.0,0.0,1.0,993286.0,1.0,1.0
2020-03-11,4.0,1.0,1.0,1.0,1.0,998103.0,2.0,1.0
2020-03-12,2.0,0.0,2.0,0.0,1.0,1001305.0,2.0,0.0
2020-03-13,3.0,1.0,1.0,1.0,0.0,1003319.0,3.0,1.0
2020-03-14,6.0,0.0,1.0,1.0,0.0,1007162.0,3.0,0.0
2020-03-15,4.0,0.0,2.0,0.0,1.0,1007258.0,4.0,1.0
2020-03-16,3.0,0.0,0.0,1.0,2.0,1008752.0,5.0,1.0
2020-03-17,2.0,0.0,0.0,0.0,2.0,1010902.0,5.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,2.0,1011999.0,5.0,0.0
2020-03-19,3.0,1.0,0.0,1.0,4.0,1012279.0,5.0,0.0
2020-03-20,4.0,1.0,0.0,1.0,3.0,1012318.0,5.0,0.0
2020-03-21,7.0,2.0,0.0,0.0,5.0,1013722.0,6.0,1.0
2020-03-22,7.0,5.0,1.0,2.0,3.0,1014031.0,10.0,4.0
2020-03-23,11.0,1.0,1.0,3.0,4.0,1014313.0,11.0,1.0
2020-03-24,14.0,0.0,3.0,1.0,5.0,1014618.0,12.0,1.0
2020-03-25,10.0,3.0,1.0,4.0,6.0,1015036.0,15.0,3.0
2020-03-26,16.0,6.0,4.0,1.0,8.0,1015390.0,17.0,2.0
2020-03-27,20.0,6.0,5.0,4.0,7.0,1015026.0,22.0,5.0
2020-03-28,27.0,5.0,7.0,3.0,7.0,1014721.0,24.0,2.0
2020-03-29,31.0,4.0,5.0,5.0,9.0,1014205.0,27.0,3.0
2020-03-30,36.0,13.0,2.0,6.0,16.0,1014069.0,35.0,8.0
