time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,970342.0,0.0,0.0
2020-03-07,5.0,1.0,0.0,1.0,0.0,971270.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,1.0,0.0,977399.0,0.0,0.0
2020-03-09,3.0,2.0,1.0,0.0,0.0,984847.0,2.0,2.0
2020-03-10,3.0,1.0,0.0,0.0,1.0,991337.0,3.0,1.0
2020-03-11,1.0,0.0,2.0,0.0,1.0,996226.0,4.0,1.0
2020-03-12,1.0,0.0,0.0,1.0,3.0,1001306.0,4.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,1.0,1001785.0,4.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1004338.0,4.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1005899.0,4.0,0.0
2020-03-16,1.0,0.0,1.0,0.0,2.0,1007486.0,5.0,1.0
2020-03-17,2.0,1.0,0.0,0.0,1.0,1009307.0,6.0,1.0
2020-03-18,3.0,0.0,0.0,0.0,2.0,1009297.0,6.0,0.0
2020-03-19,6.0,0.0,0.0,0.0,1.0,1009779.0,7.0,1.0
2020-03-20,3.0,3.0,0.0,1.0,3.0,1010095.0,10.0,3.0
2020-03-21,6.0,2.0,2.0,0.0,4.0,1010372.0,10.0,0.0
2020-03-22,3.0,5.0,1.0,1.0,5.0,1012524.0,15.0,5.0
2020-03-23,6.0,4.0,3.0,2.0,5.0,1013411.0,17.0,2.0
2020-03-24,7.0,2.0,4.0,1.0,7.0,1012346.0,18.0,1.0
2020-03-25,13.0,3.0,2.0,2.0,9.0,1013477.0,19.0,1.0
2020-03-26,15.0,2.0,2.0,3.0,10.0,1013829.0,21.0,2.0
2020-03-27,15.0,4.0,3.0,3.0,10.0,1014206.0,24.0,3.0
2020-03-28,16.0,7.0,3.0,3.0,12.0,1014907.0,29.0,5.0
2020-03-29,28.0,5.0,4.0,3.0,14.0,1015425.0,35.0,6.0
2020-03-30,31.0,6.0,7.0,5.0,15.0,1016070.0,42.0,7.0
2020-03-31,35.0,7.0,7.0,6.0,21.0,1017231.0,48.0,6.0
2020-04-01,33.0,10.0,4.0,5.0,29.0,1016812.0,52.0,4.0
2020-04-02,35.0,9.0,4.0,5.0,31.0,1016819.0,56.0,4.0
2020-04-03,44.0,10.0,3.0,9.0,35.0,1016041.0,58.0,2.0
2020-04-04,51.0,10.0,5.0,9.0,41.0,1015696.0,67.0,9.0
2020-04-05,49.0,15.0,8.0,9.0,49.0,1014599.0,82.0,15.0
2020-04-06,62.0,14.0,6.0,8.0,59.0,1016053.0,92.0,10.0
2020-04-07,79.0,19.0,10.0,6.0,66.0,1015787.0,105.0,13.0
