time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969420.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,0.0,0.0,971671.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,1.0,0.0,978593.0,1.0,1.0
2020-03-09,1.0,1.0,0.0,0.0,1.0,985695.0,1.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,1.0,991624.0,1.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,1.0,998140.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,1001545.0,1.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,2.0,1003780.0,2.0,1.0
2020-03-14,0.0,0.0,1.0,1.0,2.0,1005175.0,2.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,1.0,1007286.0,2.0,0.0
2020-03-16,1.0,0.0,1.0,0.0,1.0,1008348.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,1.0,3.0,1008715.0,2.0,0.0
2020-03-18,4.0,1.0,0.0,1.0,2.0,1009940.0,3.0,1.0
2020-03-19,4.0,0.0,1.0,0.0,3.0,1011337.0,3.0,0.0
2020-03-20,1.0,1.0,0.0,0.0,2.0,1011876.0,4.0,1.0
2020-03-21,3.0,1.0,0.0,0.0,3.0,1013132.0,4.0,0.0
2020-03-22,3.0,0.0,1.0,1.0,4.0,1013482.0,4.0,0.0
2020-03-23,5.0,0.0,1.0,0.0,4.0,1013374.0,4.0,0.0
2020-03-24,6.0,0.0,1.0,0.0,3.0,1013160.0,4.0,0.0
2020-03-25,4.0,0.0,0.0,0.0,2.0,1012911.0,5.0,1.0
2020-03-26,2.0,1.0,0.0,0.0,3.0,1014295.0,6.0,1.0
2020-03-27,4.0,1.0,0.0,0.0,3.0,1014234.0,6.0,0.0
2020-03-28,6.0,2.0,1.0,1.0,1.0,1014633.0,6.0,0.0
2020-03-29,10.0,0.0,2.0,3.0,0.0,1015178.0,6.0,0.0
2020-03-30,12.0,1.0,3.0,2.0,3.0,1015723.0,7.0,1.0
2020-03-31,15.0,5.0,3.0,1.0,6.0,1015341.0,14.0,7.0
2020-04-01,16.0,5.0,0.0,2.0,5.0,1015863.0,17.0,3.0
2020-04-02,20.0,3.0,5.0,3.0,4.0,1014942.0,19.0,2.0
2020-04-03,22.0,2.0,4.0,7.0,5.0,1014791.0,22.0,3.0
2020-04-04,29.0,6.0,4.0,7.0,9.0,1016008.0,29.0,7.0
2020-04-05,34.0,8.0,5.0,8.0,16.0,1016365.0,38.0,9.0
2020-04-06,36.0,7.0,8.0,4.0,26.0,1015898.0,42.0,4.0
2020-04-07,38.0,11.0,8.0,5.0,23.0,1017040.0,54.0,12.0
2020-04-08,38.0,9.0,8.0,6.0,27.0,1017350.0,62.0,8.0
2020-04-09,46.0,11.0,11.0,6.0,24.0,1017819.0,67.0,5.0
2020-04-10,53.0,19.0,7.0,5.0,31.0,1018262.0,77.0,10.0
2020-04-11,70.0,23.0,14.0,14.0,36.0,1017706.0,93.0,16.0
2020-04-12,95.0,20.0,14.0,16.0,46.0,1019178.0,105.0,12.0
2020-04-13,95.0,31.0,13.0,15.0,50.0,1018442.0,131.0,26.0
2020-04-14,144.0,27.0,17.0,17.0,71.0,1018449.0,141.0,10.0
2020-04-15,159.0,36.0,25.0,16.0,80.0,1018832.0,169.0,28.0
2020-04-16,184.0,41.0,26.0,24.0,88.0,1019049.0,203.0,34.0
2020-04-17,192.0,47.0,35.0,28.0,98.0,1018660.0,244.0,41.0
2020-04-18,206.0,48.0,47.0,29.0,116.0,1018946.0,287.0,43.0
2020-04-19,242.0,50.0,51.0,32.0,135.0,1019389.0,323.0,36.0
2020-04-20,287.0,68.0,48.0,31.0,172.0,1018978.0,372.0,49.0
2020-04-21,334.0,69.0,57.0,42.0,203.0,1020088.0,428.0,56.0
2020-04-22,397.0,82.0,61.0,46.0,216.0,1020319.0,490.0,62.0
2020-04-23,434.0,94.0,81.0,70.0,247.0,1019831.0,580.0,90.0
2020-04-24,544.0,116.0,106.0,71.0,306.0,1019300.0,687.0,107.0
2020-04-25,638.0,141.0,140.0,99.0,370.0,1020368.0,795.0,108.0
2020-04-26,741.0,162.0,124.0,119.0,436.0,1021034.0,914.0,119.0
2020-04-27,835.0,175.0,138.0,137.0,499.0,1020651.0,1054.0,140.0
2020-04-28,997.0,202.0,156.0,133.0,551.0,1019395.0,1212.0,158.0
2020-04-29,1182.0,239.0,212.0,142.0,635.0,1020521.0,1407.0,195.0
2020-04-30,1341.0,282.0,227.0,195.0,747.0,1020263.0,1640.0,233.0
2020-05-01,1515.0,338.0,247.0,218.0,903.0,1018972.0,1905.0,265.0
2020-05-02,1810.0,374.0,305.0,264.0,1016.0,1019647.0,2203.0,298.0
2020-05-03,2094.0,453.0,362.0,299.0,1180.0,1018815.0,2540.0,337.0
2020-05-04,2468.0,559.0,419.0,333.0,1385.0,1017246.0,2959.0,419.0
2020-05-05,3004.0,638.0,495.0,391.0,1608.0,1015669.0,3452.0,493.0
2020-05-06,3470.0,754.0,597.0,433.0,1877.0,1015762.0,4016.0,564.0
2020-05-07,3902.0,890.0,656.0,535.0,2236.0,1015665.0,4664.0,648.0
2020-05-08,4477.0,987.0,806.0,668.0,2569.0,1012559.0,5418.0,754.0
2020-05-09,5171.0,1176.0,936.0,701.0,3037.0,1011448.0,6327.0,909.0
2020-05-10,6070.0,1345.0,1108.0,886.0,3578.0,1008966.0,7374.0,1047.0
2020-05-11,7163.0,1619.0,1281.0,1027.0,4229.0,1008041.0,8663.0,1289.0
2020-05-12,8578.0,1884.0,1499.0,1168.0,4962.0,1005995.0,10130.0,1467.0
2020-05-13,9816.0,2213.0,1828.0,1345.0,5791.0,1003047.0,11863.0,1733.0
2020-05-14,11447.0,2592.0,2056.0,1642.0,6694.0,1000462.0,13836.0,1973.0
2020-05-15,13403.0,2976.0,2415.0,1858.0,7741.0,995898.0,16138.0,2302.0
2020-05-16,15583.0,3504.0,2805.0,2277.0,9008.0,991733.0,18845.0,2707.0
2020-05-17,18393.0,4057.0,3329.0,2627.0,10536.0,986449.0,21894.0,3049.0
2020-05-18,21318.0,4701.0,3828.0,3096.0,12284.0,979562.0,25511.0,3617.0
2020-05-19,24556.0,5497.0,4414.0,3534.0,14643.0,971359.0,29718.0,4207.0
2020-05-20,28451.0,6350.0,5227.0,4052.0,16948.0,963965.0,34583.0,4865.0
2020-05-21,32899.0,7486.0,6053.0,4828.0,19845.0,953312.0,40288.0,5705.0
2020-05-22,37933.0,8521.0,6946.0,5715.0,23226.0,942813.0,46809.0,6521.0
2020-05-23,43547.0,9735.0,8036.0,6497.0,27211.0,931694.0,54380.0,7571.0
2020-05-24,49735.0,11388.0,9268.0,7468.0,31504.0,916101.0,63013.0,8633.0
2020-05-25,57182.0,12823.0,10610.0,8754.0,36355.0,898819.0,72838.0,9825.0
2020-05-26,65003.0,14812.0,12134.0,10011.0,42467.0,879855.0,84161.0,11323.0
2020-05-27,73789.0,16815.0,13797.0,11364.0,49167.0,860355.0,96948.0,12787.0
2020-05-28,82764.0,18758.0,15814.0,13074.0,56855.0,837894.0,111384.0,14436.0
2020-05-29,92836.0,21544.0,17745.0,14704.0,65636.0,812966.0,127764.0,16380.0
2020-05-30,103427.0,23748.0,19850.0,17105.0,75798.0,784982.0,145526.0,17762.0
2020-05-31,114340.0,26876.0,22221.0,18821.0,86924.0,754482.0,165756.0,20230.0
2020-06-01,124779.0,29751.0,25063.0,21383.0,99699.0,722983.0,187946.0,22190.0
2020-06-02,136916.0,32976.0,28218.0,24133.0,114296.0,688913.0,212431.0,24485.0
2020-06-03,148693.0,35947.0,31006.0,26874.0,130987.0,653540.0,238841.0,26410.0
2020-06-04,159308.0,39167.0,33751.0,29962.0,148959.0,615825.0,267580.0,28739.0
2020-06-05,169498.0,42026.0,37006.0,32410.0,168679.0,578045.0,298122.0,30542.0
2020-06-06,177685.0,44936.0,39598.0,35389.0,190373.0,539527.0,330525.0,32403.0
2020-06-07,184624.0,46861.0,42817.0,38044.0,213700.0,500883.0,364144.0,33619.0
2020-06-08,189188.0,49047.0,45286.0,40493.0,239748.0,463640.0,399104.0,34960.0
2020-06-09,192903.0,50400.0,47467.0,43009.0,267519.0,427498.0,434727.0,35623.0
2020-06-10,194432.0,51736.0,48919.0,45588.0,296058.0,392453.0,471025.0,36298.0
2020-06-11,193532.0,52087.0,50504.0,47801.0,325590.0,358990.0,507275.0,36250.0
2020-06-12,191045.0,52563.0,51315.0,49159.0,356433.0,328681.0,543314.0,36039.0
2020-06-13,186396.0,51963.0,51720.0,50038.0,387603.0,300021.0,579059.0,35745.0
2020-06-14,180112.0,51163.0,51109.0,50626.0,421033.0,274109.0,613585.0,34526.0
2020-06-15,172879.0,49837.0,50745.0,50817.0,453767.0,250675.0,646845.0,33260.0
2020-06-16,164534.0,47864.0,49559.0,50331.0,485650.0,229725.0,678686.0,31841.0
2020-06-17,154988.0,45311.0,47958.0,49683.0,517544.0,210999.0,708739.0,30053.0
2020-06-18,145660.0,43396.0,45939.0,48622.0,549186.0,194599.0,737407.0,28668.0
2020-06-19,135863.0,40778.0,44153.0,46660.0,579171.0,180607.0,763959.0,26552.0
2020-06-20,126255.0,38262.0,41956.0,44656.0,607833.0,168078.0,788723.0,24764.0
2020-06-21,117102.0,35570.0,39550.0,42884.0,635536.0,156723.0,811639.0,22916.0
2020-06-22,107481.0,32990.0,37117.0,40356.0,661916.0,147103.0,832800.0,21161.0
2020-06-23,98368.0,30809.0,34519.0,38386.0,687144.0,137923.0,852368.0,19568.0
2020-06-24,89753.0,28299.0,31960.0,35481.0,711155.0,130417.0,870237.0,17869.0
2020-06-25,81793.0,25931.0,29477.0,33286.0,733173.0,124184.0,886522.0,16285.0
2020-06-26,74031.0,23392.0,26913.0,30971.0,753180.0,118369.0,901149.0,14627.0
2020-06-27,66938.0,21505.0,24739.0,28285.0,771915.0,113536.0,914668.0,13519.0
2020-06-28,60454.0,19567.0,22430.0,26092.0,789677.0,109172.0,926851.0,12183.0
2020-06-29,54895.0,17580.0,20556.0,23715.0,804842.0,105067.0,937661.0,10810.0
2020-06-30,49232.0,15944.0,18807.0,21609.0,819036.0,101450.0,947532.0,9871.0
2020-07-01,44246.0,14696.0,17130.0,19737.0,833324.0,98820.0,956591.0,9059.0
2020-07-02,39623.0,13170.0,15423.0,18014.0,844123.0,95850.0,964574.0,7983.0
2020-07-03,35369.0,11972.0,13849.0,16437.0,855055.0,93983.0,971897.0,7323.0
2020-07-04,31850.0,10527.0,12515.0,14901.0,864548.0,92295.0,978289.0,6392.0
2020-07-05,28370.0,9457.0,11253.0,13440.0,874926.0,90284.0,984080.0,5791.0
2020-07-06,25438.0,8367.0,10143.0,12005.0,882025.0,88544.0,989183.0,5103.0
