time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970039.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,972584.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,1.0,979932.0,0.0,0.0
2020-03-09,1.0,2.0,1.0,0.0,1.0,985092.0,2.0,2.0
2020-03-10,2.0,0.0,0.0,1.0,1.0,992260.0,2.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,1.0,996525.0,2.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,1.0,999257.0,2.0,0.0
2020-03-13,0.0,2.0,0.0,0.0,0.0,1002301.0,3.0,1.0
2020-03-14,3.0,1.0,1.0,0.0,0.0,1005145.0,3.0,0.0
2020-03-15,2.0,1.0,1.0,0.0,1.0,1005636.0,4.0,1.0
2020-03-16,4.0,0.0,2.0,0.0,1.0,1007717.0,4.0,0.0
2020-03-17,8.0,0.0,1.0,1.0,2.0,1008169.0,5.0,1.0
2020-03-18,8.0,1.0,0.0,1.0,4.0,1010800.0,6.0,1.0
2020-03-19,5.0,1.0,1.0,2.0,3.0,1012876.0,8.0,2.0
2020-03-20,7.0,0.0,3.0,0.0,2.0,1012972.0,8.0,0.0
2020-03-21,10.0,1.0,2.0,2.0,2.0,1012624.0,9.0,1.0
2020-03-22,14.0,1.0,2.0,1.0,3.0,1012218.0,10.0,1.0
2020-03-23,12.0,1.0,2.0,1.0,4.0,1011805.0,13.0,3.0
2020-03-24,13.0,3.0,5.0,1.0,6.0,1012292.0,17.0,4.0
2020-03-25,19.0,2.0,4.0,4.0,6.0,1013034.0,19.0,2.0
2020-03-26,19.0,5.0,1.0,2.0,10.0,1014517.0,21.0,2.0
2020-03-27,16.0,5.0,3.0,4.0,10.0,1013709.0,25.0,4.0
2020-03-28,25.0,3.0,2.0,5.0,13.0,1013959.0,26.0,1.0
2020-03-29,27.0,8.0,2.0,3.0,16.0,1013925.0,33.0,7.0
2020-03-30,22.0,8.0,11.0,3.0,14.0,1015199.0,42.0,9.0
2020-03-31,25.0,8.0,13.0,5.0,15.0,1015520.0,47.0,5.0
